segment	best	score
Article 8 (7) of Regulation (EU) No 1321/2014 is identical to Article 3 (7) of that Regulation.	Annex I to Regulation (EU) No 208/2014 is amended as set out in the Annex to this Regulation.	66
reporting reference date and reference period;	Reporting reference dates	65
The following sub-heading and entity are added to the list set out in the Annex to Decision 2014/932/CFSP (List of persons and entities referred to in Articles 1 (1), 2a (1) and Article 2b (1) and (2)):	The Annex to Decision 2011/235/CFSP (‘ List of persons and entities referred to in Articles 1 and 2 ’) is amended as follows:	62
These tasks are performed either by the public undertakings, by the town councils or are tendered out, for example to the owners of the transmission centres.	In the case at hand, platform operators and most of the public undertakings or town councils are registered in the register of the CMT as network operators.	60
to provide Wizz Air with advertising space at the Timișoara International Airport;	other activities promoting passenger growth at Timișoara International Airport.	65
That agreement shall describe Eurocontrol ’ s tasks, responsibilities and contribution to the activities of the Single European Sky ATM Research 3 Joint Undertaking as regards the following:	In addition to the tasks set out in Article 5, the Single European Sky ATM Research 3 Joint Undertaking shall carry out the following tasks:	65
Function: Chairman of the Board of Directors of PJSC Pipe Metallurgical Company	Chairman of the Board of Directors of LLC Pobeda	68
The numbering of rows or columns shall not be altered where an institution omits one or more disclosures in accordance with Article 432 of Regulation (EU) No 575/2013.	Tier 2 capital of the resolution group, calculated in accordance with Article 71 of Regulation (EU) No 575/2013.	65
The overcurrent test shall be conducted in accordance with paragraph 4. or paragraph 5., as applicable and in accordance with manufacturer information.	The test shall be conducted in accordance with Annex 9E paragraph 3.2.1. of this Regulation.	60
By June 2024, the Commission shall inform the European Parliament and the Council on the state of play of the implementation process of this Regulation, based on available information.	The Commission shall inform the European Parliament and the Council without delay of the contributions approved	65
This information variable shall enable further analysis and interpretation of data.	This information variable shall enable the calculation of the volume of sales and of the use.	67
Recognition of voluntary certification systems	Have any voluntary certification systems been recognised yet?	64
However, in some cases, certain aspects of the project preparation are subject to clearance at Union level.	However, the nature and scale of the innovation challenge also require action to be taken collaboratively at Union level.	60
It is not considered necessary to stipulate the value of properties.	It is therefore necessary to extend their approval periods.	65
A month after the date of entry into force of this Agreement, Categories B and C will cease to exist.	However, it shall expire 6 months after the date of its entry into force if no agreement has been concluded within that period.	61
Other PSPs and e-money issuers	Other trade-related issues	64
investigate and pay valid claims for insured events that have already occurred, including events that have occurred but for which claims have not been reported, and other incurred insurance expenses; and	investigate and pay valid claims under existing insurance contracts for insured events that have not yet occurred (ie the obligation that relates to the unexpired portion of the insurance coverage); and	62
Geographical Indications of the Union	geographical location of the stockpiles.	70
However, the latter party did not agree to participate.	However, the footnotes do not have to be reproduced.	64
‘ Sounding rate ’ is the product of the maximum speed (m/s) at which the sensor can operate and the maximum number of soundings per swath assuming 100% coverage.	'Area coverage rate' (m2/s) is twice the product of the sonar range (m) and the maximum speed (m/s) at which the sensor can operate at that range.	63
